label	C1	C2	H
B1	25.390	24.560	0.340
B2	21.180	21.460	0.890
B3	25.100	27.220	0.880
B4	22.620	23.760	0.830
B5	21.020	22.740	0.360
B6	23.160	20.970	0.970
B7	26.900	26.870	1.120
B8	21.400	19.940	0.970
B9	26.000	20.940	0.650
B10	27.410	22.090	0.850
B11	26.430	25.690	0.570
B12	22.520	19.790	0.590
B13	25.150	24.630	0.540
B14	21.480	21.090	0.760
B15	27.120	23.960	0.730
B16	23.020	24.920	0.700
B17	25.050	23.080	0.680
B18	25.890	27.170	0.940
B19	24.370	24.430	0.900
B20	26.250	23.330	0.800
B21	22.820	27.910	0.700
B22	26.550	23.810	0.770
B23	19.720	25.480	-1.020
B24	21.780	22.980	0.830
B25	22.760	22.820	0.880
B26	24.600	25.610	1.100
B27	24.050	25.490	0.910
B28	21.920	23.700	0.970
B29	25.920	23.690	1.030
B30	21.200	22.190	0.600
B31	22.260	21.750	1.080
B32	20.700	21.950	0.980
B33	26.180	24.250	0.670
B34	21.980	23.040	0.950
B35	20.580	21.340	0.710
B36	22.930	25.530	0.810
B37	25.710	22.950	0.960
B38	26.060	23.760	0.690
B39	24.230	27.680	0.860
B40	26.020	24.390	1.070
B41	28.240	22.100	1.100
B42	21.690	22.560	1.010
B43	27.120	23.300	0.930
B44	22.620	19.230	1.070
B45	24.590	26.800	0.870
B46	26.720	22.810	0.890
B47	21.550	23.560	0.860
B48	20.780	22.620	0.930
B49	21.550	23.700	1.000
B50	25.560	19.850	0.900
